idx,T,log10E,log10Jump,dir,cap,E,slope
0,7000,4.885561985817278297e-01,-2.687024809861122132e-01,-1,0,3.080038878958001103e+00,5.718191288672345607e+00
1,7000.01,4.963221923605696806e-01,-2.357172984853892483e-01,-1,0,3.135611094146004252e+00,5.395596830039899316e+00
2,7000.02,5.035099063101370342e-01,-2.014334131264770567e-01,-1,0,3.187938292128087436e+00,5.069245443121682015e+00
3,7000.03,5.101406381206341489e-01,-1.655904364183038435e-01,-1,0,3.236984636337600474e+00,4.739484142584904802e+00
4,7000.04,5.162335465927780920e-01,-1.278762502736640327e-01,-1,0,3.282717773831472119e+00,4.406662571820552543e+00
5,7000.05,5.218058680868111754e-01,-8.790938005211169914e-02,-1,0,3.325108859574401166e+00,4.071132602018428415e+00
6,7000.06,5.268731025232956666e-01,-4.521373039177892933e-02,-1,0,3.364132576705133992e+00,3.733247929589347702e+00
7,7000.07,5.314491735923447813e-01,8.187673930736817608e-04,-1,0,3.399767152770690526e+00,3.393363672412432752e+00
8,7000.08,5.355465669836471099e-01,5.098538017857835725e-02,-1,0,3.431994371919182107e+00,3.051835965386090255e+00
9,7000.09,5.391764497716956539e-01,1.063639890312740033e-01,-1,0,3.460799583046655137e+00,2.709021555761320421e+00
10,7000.1,5.423487735424974421e-01,1.684666916080628796e-01,-1,0,3.486171703898167884e+00,2.365277398735469383e+00
11,7000.11,5.450723634017666797e-01,2.395145910701680647e-01,-1,0,3.508103221128097360e+00,2.020960253783441019e+00
12,7000.12,5.473549946386924159e-01,3.229705337643447027e-01,-1,0,3.526590186329427112e+00,1.676426282201715745e+00
13,7000.13,5.492034585171179373e-01,4.246892416539368442e-01,-1,0,3.541632208046511909e+00,1.332030646338272284e+00
14,7000.14,5.506236184143274981e-01,5.558108033349576926e-01,-1,0,3.553232439790530162e+00,9.881271109787053142e-01
15,7000.15,5.516204573162958313e-01,7.420151964288229651e-01,-1,0,3.561397564081527189e+00,6.450676473554496360e-01
16,7000.16,5.521981174990381325e-01,1.070465998166541643e+00,-1,0,3.566137772545597162e+00,3.032020402430935513e-01
17,7000.17,5.523599330720049272e-01,1.982722700752381995e+00,1,0,3.567466742100359411e+00,-3.712250140172765334e-02
18,7000.18,5.521084559259583635e-01,9.774271252137750610e-01,1,0,3.565401607266451833e+00,-3.755617298023972706e-01
19,7000.19,5.514454755100210992e-01,6.991029045798216046e-01,1,0,3.559962928647255609e+00,-7.117747392784598004e-01
20,7000.2,5.503720327569121551e-01,5.310794245097940625e-01,1,0,3.551174657623541009e+00,-1.045424342274063667e+00
21,7000.21,5.488884283786060747e-01,4.102139942812639273e-01,1,0,3.539064097314074786e+00,-1.376177440063562463e+00
22,7000.22,5.469942256639840350e-01,3.155997288691806957e-01,1,0,3.523661859857575962e+00,-1.703705387706281105e+00
23,7000.23,5.446882478229626567e-01,2.376878979966706718e-01,1,0,3.505001820075634544e+00,-2.027684352830113390e+00
24,7000.24,5.419685698357100678e-01,1.713082729137228588e-01,1,0,3.483121065580365716e+00,-2.347795667831767741e+00
25,7000.25,5.388325046785632511e-01,1.133429263573054735e-01,1,0,3.458059843394670096e+00,-2.663726175090120218e+00
26,7000.26,5.352765837077630984e-01,6.176500702543333970e-02,1,0,3.429861503156936386e+00,-2.975168564798255311e+00
27,7000.27,5.312965308856220092e-01,1.518154789957917167e-02,1,0,3.398572436985941359e+00,-3.281821705029349001e+00
28,7000.28,5.268872304284351049e-01,-2.740696375439730104e-02,1,0,3.364242016085487563e+00,-3.583390963661584827e+00
29,7000.29,5.220426873382085775e-01,-6.674297841343891646e-02,1,0,3.326922524172016615e+00,-3.879588521797765477e+00
30,7000.3,5.167559801474166381e-01,-1.033939968476552534e-01,1,0,3.286669087812033929e+00,-4.170133678326184423e+00
31,7000.31,5.110192050531335850e-01,-1.378044380868096441e-01,1,0,3.243539603759644674e+00,-4.454753145280619719e+00
32,7000.32,5.048234104387105958e-01,-1.703297326735435102e-01,1,0,3.197594663387881564e+00,-4.733181333669038260e+00
33,7000.33,4.981585205711362985e-01,-2.012594991793680288e-01,1,0,3.148897474310726974e+00,-5.005160629452670484e+00
34,7000.34,4.910132470122182125e-01,-2.308337633028117730e-01,1,0,3.097513779295876013e+00,-5.270441659369590859e+00
35,7000.35,4.833749859815364980e-01,-2.592546015185306363e-01,1,0,3.043511772571269702e+00,-5.528783546309735897e+00
36,7000.36,4.752296995458019646e-01,-2.866946941064708043e-01,1,0,2.986962013631285995e+00,-5.779954153961456065e+00
37,7000.37,4.665617780662733582e-01,-3.133037424045233554e-01,1,0,2.927937338651231958e+00,-6.023730320463147159e+00
38,7000.38,4.573538807919197979e-01,-3.392133816032827376e-01,1,0,2.866512769621344603e+00,-6.259898080807286824e+00
39,7000.39,4.475867508134176442e-01,-3.645410172199551879e-01,1,0,2.802765421313996530e+00,-6.488252877758259096e+00
40,7000.4,4.372389997556214714e-01,-3.893928826332491711e-01,1,0,2.736774406200090048e+00,-6.708599761059666378e+00
41,7000.41,4.262868565361324635e-01,-4.138665291814329072e-01,1,0,2.668620737432813250e+00,-6.920753574721419277e+00
42,7000.42,4.147038731914944321e-01,-4.380529030231488097e-01,1,0,2.598387230018944116e+00,-7.124539132191671342e+00
43,7000.43,4.024605790852247567e-01,-4.620381243585872655e-01,1,0,2.526158400299766349e+00,-7.319791379233723916e+00
44,7000.44,3.895240726480261317e-01,-4.859050586106759551e-01,1,0,2.452020363865384578e+00,-7.506355544343222164e+00
45,7000.45,3.758575370025328266e-01,-5.097347519710333508e-01,1,0,2.376060732027794220e+00,-7.684087276556352819e+00
46,7000.46,3.614196621751823435e-01,-5.336077929681926069e-01,1,0,2.298368506979477477e+00,-7.852852770515317715e+00
47,7000.47,3.461639517924134934e-01,-5.576056560169246890e-01,1,0,2.219033975765559052e+00,-8.012528878673043309e+00
48,7000.48,3.300378857681782740e-01,-5.818120815406639945e-01,1,0,2.138148603198648079e+00,-8.163003210534890641e+00
49,7000.49,3.129819019008192038e-01,-6.063145500549071976e-01,1,0,2.055804923846445753e+00,-8.304174218851036571e+00
50,7000.5,2.949281476197165852e-01,-6.312059149053759199e-01,1,0,1.972096433222975120e+00,-8.435951272689196756e+00
51,7000.51,2.757989370466507606e-01,-6.565862710987051543e-01,1,0,1.887117478314916941e+00,-8.558254717333394268e+00
52,7000.52,2.555048261073868954e-01,-6.825651575307513097e-01,1,0,1.800963147574989653e+00,-8.671015920970573276e+00
53,7000.53,2.339421866722405929e-01,-7.092642196868652604e-01,1,0,1.713729160514626093e+00,-8.774177308142965259e+00
54,7000.54,2.109901150158187133e-01,-7.368205040225936919e-01,1,0,1.625511757028327731e+00,-8.867692379960249838e+00
55,7000.55,1.865064429884468467e-01,-7.653906209056521304e-01,1,0,1.536407586582062779e+00,-8.951525721081571518e+00
56,7000.56,1.603225204223829581e-01,-7.951561118962575669e-01,1,0,1.446513597397894202e+00,-9.025652993493627818e+00
57,7000.57,1.322362849650820238e-01,-8.263305086951089340e-01,1,0,1.355926925766675506e+00,-9.090060917126976392e+00
58,7000.58,1.020028975440877561e-01,-8.591688084484343513e-01,1,0,1.264744785620158130e+00,-9.144747237368608950e+00
59,7000.59,6.932183971289383739e-02,-8.939804715452582817e-01,1,0,1.173064358493189463e+00,-9.189720679544738147e+00
60,7000.6,3.381873715318733931e-02,-9.311476795991370237e-01,1,0,1.080982684005866501e+00,-9.225000890463379122e+00
61,7000.61,-4.980909034716005622e-03,-9.711516736064796929e-01,1,0,9.885965509945313645e-01,-9.250618367121891339e+00
